"cycle","scale","estimate","ci_lower","ci_upper","p_value","dAIC","n_used"
"2013-2014","Boustani ACB",-1.97537124128012,-2.78496986796461,-1.16577261459563,0.00010762859418219,-21.906706967864,1468
"2013-2014","IACB",-1.29217354593247,-2.12157898547754,-0.462768106387408,0.00465701592008643,-7.95152092123317,1468
"2011-2012","Boustani ACB",-1.14352318656694,-2.78099153763232,0.493945164498449,0.158922092252348,0.344245912783663,1288
"2011-2012","IACB",-1.08739237040705,-2.14945395857934,-0.0253307822347535,0.0453337713395414,-3.74459281425334,1288
