"variable","weighted_mean","se","n_nonmiss"
"age",69.7097969134396,0.260001374430206,1687
"income_pir",3.04775118882069,0.108172686784152,1506
"n_drugs",3.84145220989997,0.140845536476546,1687
"acb_burden",0.894256786630499,0.0612667004553168,1687
"n_acb_drugs",0.670233692536511,0.0467718443058173,1687
"n_highpot",0.100210752746447,0.0104248930024541,1687
"CFDDS",52.3742992998091,0.805023389942456,1422
"CFDAST",18.0112700687911,0.283275293851315,1449
