"scale","prescriptions","rx_on_list","pct_rx_on_list","rx_partial_combo","pct_rx_partial_combo","participants","ppl_partial_combo","pct_ppl_partial_combo"
"Boustani ACB (0-3)",6609,2618,39.612649417461,191,2.88999848691179,1448,175,12.085635359116
"IACB (0-4)",6609,2493,37.7212891511575,190,2.87486760478136,1448,176,12.1546961325967
