"scale","model","burden","burden_lo","burden_hi","burden_p","count","count_lo","count_hi","count_p","AIC","n"
"Boustani ACB","M4 (same sample)",-1.13913328333884,-2.78108610233296,0.502819535655269,0.161515786121021,-0.519087486295211,-0.918911368492544,-0.119263604097878,0.0139821931452836,9926.10858421111,1268
"Boustani ACB","M4+ (with comorbidities)",-1.19722539143214,-2.76777437120803,0.373323588343752,0.126180162980246,-0.135818678723615,-0.640120823646589,0.36848346619936,0.577317664017842,9908.13774843524,1268
"IACB","M4 (same sample)",-1.08520861313703,-2.14718320638915,-0.0232340198849088,0.0457039630338003,-0.517174919615415,-0.872938077980909,-0.161411761249922,0.00697999726044051,9922.02430744102,1268
"IACB","M4+ (with comorbidities)",-1.30396645145846,-2.3022507459445,-0.305682156972415,0.0135011753479926,-0.0887673660681346,-0.508363123418111,0.330828391281841,0.660984122575325,9901.99075766518,1268
