"drug","is_combination","n_components","boustani_score","boustani_max","iacb_score","iacb_max","b_found","i_found","b_unresolved","i_unresolved","b_syn","i_syn","boustani_status","iacb_status","on_both"
"dexmethylphenidate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"dextroamphetamine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"diazepam",FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"diclofenac",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"diclofenac topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"dicyclomine",FALSE,1,0,0,4,4,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","b. exact match",FALSE
"didanosine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"digoxin",FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"dihydroergotamine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"diltiazem",FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"diphenhydramine",FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"disulfiram",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"diuretics - unspecified",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"divalproex sodium",FALSE,1,0,0,3,3,0,1,1,0,FALSE,TRUE,"d. unlisted, identifiable (scores 0)","b. synonym match",FALSE
"docusate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"dofetilide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"domperidone",FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"donepezil",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"dorzolamide ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"doxazosin",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"doxepin",FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"doxycycline",FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"dronabinol",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"dronedarone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"duloxetine",FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"dutasteride",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"eletriptan",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"emollients topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"enalapril",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"enoxaparin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"entacapone",FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"entecavir",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"epinephrine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"eplerenone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"epoetin alfa",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"erdosteine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"erythromycin ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"erythromycin topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"escitalopram",FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"esomeprazole",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"estazolam",FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"esterified estrogens",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"estradiol",FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"estradiol topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"estropipate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"eszopiclone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"etanercept",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ethacrynic acid",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ethambutol",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ethosuximide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"etodolac",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"etonogestrel",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"etravirine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"exemestane",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"exenatide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ezetimibe",FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"famciclovir",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"famotidine",FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"febuxostat",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"felbamate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"felodipine",FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"fenofibrate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fenofibric acid",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fentanyl",FALSE,1,1,1,2,2,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"fesoterodine",FALSE,1,3,3,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"fexofenadine",FALSE,1,0,0,4,4,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"filgrastim",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"finasteride",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"flecainide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluconazole",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fludrocortisone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"flunisolide nasal",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluocinolone topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluocinonide topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluoxetine",FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"flurandrenolide topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluticasone",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"fluticasone nasal",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluticasone topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fluvoxamine",FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"fondaparinux",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"formoterol",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"fosamprenavir",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"fosinopril",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"furosemide",FALSE,1,1,1,0,0,1,1,0,0,FALSE,FALSE,"b. exact match","a. confirmed score zero",TRUE
"gabapentin",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"galantamine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"gatifloxacin ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"gemfibrozil",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"gentamicin ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"glatiramer",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"gliclazide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"glimepiride",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"glipizide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"glyburide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"glycopyrrolate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"granisetron",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"griseofulvin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"guanfacine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"haloperidol",FALSE,1,1,1,3,3,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"heparin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"homatropine ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hormones/hormone modifiers - unspecified",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydralazine",FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"hydrochlorothiazide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydrocodone",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"hydrocortisone",FALSE,1,1,1,2,2,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"hydrocortisone topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydromorphone",FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"hydroxychloroquine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydroxyprogesterone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydroxyurea",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydroxyzine",FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"hyoscyamine",FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"ibandronate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ibuprofen",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"iloperidone",FALSE,1,1,1,3,3,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"imipramine",FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"imiquimod topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"indapamide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"indomethacin",FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"infliximab",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin aspart",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin detemir",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin glargine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin glulisine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin isophane",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin lispro",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin regular",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin zinc",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin zinc extended",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"interferon beta-1a",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"interferon beta-1b",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ipratropium",FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"ipratropium nasal",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"irbesartan",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"isoniazid",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"isosorbide",FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"isosorbide dinitrate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"isosorbide mononitrate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"isradipine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ivermectin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ketoconazole topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ketorolac",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"ketorolac ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"labetalol",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lactulose",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lamotrigine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lansoprazole",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"lanthanum carbonate",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"latanoprost ophthalmic",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"leflunomide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"letrozole",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"leucovorin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"leuprolide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"levalbuterol",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"levetiracetam",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"levocarnitine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"levocetirizine",FALSE,1,1,1,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"levofloxacin",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"levothyroxine",FALSE,1,0,0,0,0,0,1,1,0,FALSE,TRUE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"lidocaine topical",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"linagliptin",FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"liothyronine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"liraglutide",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lisdexamfetamine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lisinopril",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lithium",FALSE,1,0,0,1,1,1,1,0,0,FALSE,TRUE,"a. confirmed score zero","b. synonym match",TRUE
"lomustine",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"loperamide",FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"lorazepam",FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"losartan",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lovastatin",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lubiprostone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lurasidone",FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
