"coding","scale","model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M1: count alone","CFDDS","n_drugs",-1.36053160671751,-1.8426272615883,-0.87843595184672,1.56976395760434e-05,1422
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M2: burden alone","CFDDS","acb_burden",-2.58672435304504,-3.59826537138787,-1.57518333470221,4.83437267745502e-05,1422
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M3: burden + count","CFDDS","acb_burden",-1.10563654624073,-2.2482805659236,0.0370074734421377,0.0570387303629834,1422
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M3: burden + count","CFDDS","n_drugs",-1.0642760961305,-1.59446949158248,-0.53408270067852,0.000557742718393661,1422
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4: fully adjusted","CFDDS","acb_burden",-0.826567957230873,-2.01017217782715,0.357036263365402,0.158922092252349,1288
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4: fully adjusted","CFDDS","n_drugs",-0.514877435608713,-0.906590980859277,-0.123163890358149,0.0130188532784262,1288
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M5a: burden category","CFDDS","acb_catACB 1-2",-0.890504324317915,-3.19829212496636,1.41728347633053,0.426837451336391,1288
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M5a: burden category","CFDDS","acb_catACB 3+",-1.78253246992571,-6.51302699921685,2.94796205936542,0.437564225633603,1288
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M5b: high-potency","CFDDS","n_highpot_acb",-3.15129150973864,-6.79700740275807,0.494424383280794,0.0858304592441045,1288
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4+: + comorbidities","CFDDS","acb_burden",-0.865174191071159,-2.05916210727569,0.328813725133371,0.144709422660426,1221
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4+: + comorbidities","CFDDS","n_drugs",-0.147527331491284,-0.709495713904368,0.4144410509218,0.586882349448396,1221
"(a) primary: unlisted contributes 0","IACB (0-4)","M1: count alone","CFDDS","n_drugs",-1.36053160671751,-1.8426272615883,-0.87843595184672,1.56976395760434e-05,1422
"(a) primary: unlisted contributes 0","IACB (0-4)","M2: burden alone","CFDDS","iacb_burden",-1.2345352441904,-1.85353701000144,-0.615533478379361,0.000591569182678597,1422
"(a) primary: unlisted contributes 0","IACB (0-4)","M3: burden + count","CFDDS","iacb_burden",0.0228732230798695,-0.569456880279935,0.615203326439674,0.936018165773858,1422
"(a) primary: unlisted contributes 0","IACB (0-4)","M3: burden + count","CFDDS","n_drugs",-1.37046590932214,-1.89222350991572,-0.848708308728563,3.58648077712729e-05,1422
"(a) primary: unlisted contributes 0","IACB (0-4)","M4: fully adjusted","CFDDS","iacb_burden",-0.502673546542395,-0.993637323466056,-0.0117097696187347,0.0453337713395415,1288
"(a) primary: unlisted contributes 0","IACB (0-4)","M4: fully adjusted","CFDDS","n_drugs",-0.513093403587796,-0.858624780558423,-0.16756202661717,0.00606081371550305,1288
"(a) primary: unlisted contributes 0","IACB (0-4)","M5b: high-potency","CFDDS","n_highpot_iacb",-1.12351904227508,-4.10963907488849,1.86260099033833,0.438245611433952,1288
"(a) primary: unlisted contributes 0","IACB (0-4)","M4+: + comorbidities","CFDDS","iacb_burden",-0.599741110638359,-1.09188107331269,-0.107601147964031,0.0198287718979928,1221
"(a) primary: unlisted contributes 0","IACB (0-4)","M4+: + comorbidities","CFDDS","n_drugs",-0.100544001895367,-0.571458148014986,0.370370144224251,0.658068777528362,1221
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M1: count alone","CFDAST","n_drugs",-0.353266687702749,-0.440149944347905,-0.266383431057594,1.39292810062298e-07,1449
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M2: burden alone","CFDAST","acb_burden",-0.673998360169109,-0.887543612349106,-0.460453107989113,4.02906969574292e-06,1449
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M3: burden + count","CFDAST","acb_burden",-0.288693071114825,-0.600523655367153,0.0231375131375035,0.0674487956256823,1449
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M3: burden + count","CFDAST","n_drugs",-0.277123238010682,-0.407495729495255,-0.146750746526108,0.000326269692250783,1449
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4: fully adjusted","CFDAST","acb_burden",-0.137317343233431,-0.507616887808539,0.232982201341677,0.444754313754924,1303
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4: fully adjusted","CFDAST","n_drugs",-0.153940689505954,-0.304326025774661,-0.00355535323724765,0.0453728577319724,1303
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M5a: burden category","CFDAST","acb_catACB 1-2",-0.0417216920167184,-1.12067640239011,1.03723301835667,0.935930633695086,1303
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M5a: burden category","CFDAST","acb_catACB 3+",-0.373572048700393,-1.72043424465497,0.97329014725418,0.566108418947645,1303
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M5b: high-potency","CFDAST","n_highpot_acb",-0.62381011537395,-1.7127069493246,0.465086718576705,0.243330915766394,1303
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4+: + comorbidities","CFDAST","acb_burden",-0.153611015343652,-0.574375043070472,0.267153012383169,0.451727090947128,1235
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4+: + comorbidities","CFDAST","n_drugs",-0.0855637275321563,-0.348260404939847,0.177132949875534,0.501228372248222,1235
"(a) primary: unlisted contributes 0","IACB (0-4)","M1: count alone","CFDAST","n_drugs",-0.353266687702749,-0.440149944347905,-0.266383431057594,1.39292810062298e-07,1449
"(a) primary: unlisted contributes 0","IACB (0-4)","M2: burden alone","CFDAST","iacb_burden",-0.249524037256031,-0.390606704492868,-0.108441370019193,0.00166030428363777,1449
"(a) primary: unlisted contributes 0","IACB (0-4)","M3: burden + count","CFDAST","iacb_burden",0.1225439764943,-0.0991199950390844,0.344207948027684,0.259562214992801,1449
"(a) primary: unlisted contributes 0","IACB (0-4)","M3: burden + count","CFDAST","n_drugs",-0.405505359901345,-0.554640198560424,-0.256370521242266,2.42015060520151e-05,1449
"(a) primary: unlisted contributes 0","IACB (0-4)","M4: fully adjusted","CFDAST","iacb_burden",0.0101500294041089,-0.174934698293423,0.195234757101641,0.909244388579886,1303
