"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M1: count alone","CFDDS","n_drugs",-1.36053160671751,-1.8426272615883,-0.87843595184672,1.56976395760434e-05,1422
"M2: ACB alone","CFDDS","acb_burden",-2.58672435304504,-3.59826537138787,-1.57518333470221,4.83437267745502e-05,1422
"M3: ACB + count","CFDDS","acb_burden",-1.10563654624073,-2.2482805659236,0.0370074734421377,0.0570387303629834,1422
"M3: ACB + count","CFDDS","n_drugs",-1.0642760961305,-1.59446949158248,-0.53408270067852,0.000557742718393661,1422
"M4: fully adjusted","CFDDS","acb_burden",-0.826567957230873,-2.01017217782715,0.357036263365402,0.158922092252349,1288
"M4: fully adjusted","CFDDS","n_drugs",-0.514877435608713,-0.906590980859277,-0.123163890358149,0.0130188532784262,1288
"M5a: ACB category","CFDDS","acb_catACB 1-2",-0.890504324317915,-3.19829212496636,1.41728347633053,0.426837451336391,1288
"M5a: ACB category","CFDDS","acb_catACB 3+",-1.78253246992571,-6.51302699921685,2.94796205936542,0.437564225633603,1288
"M5b: high-potency","CFDDS","n_highpot",-3.15129150973864,-6.79700740275807,0.494424383280794,0.0858304592441045,1288
"M4+: + comorbidities","CFDDS","acb_burden",-0.865174191071159,-2.05916210727569,0.328813725133371,0.144709422660426,1221
"M4+: + comorbidities","CFDDS","n_drugs",-0.147527331491284,-0.709495713904368,0.4144410509218,0.586882349448396,1221
