"band","n","scale","estimate","ci_lower","ci_upper","p_value","dAIC"
"0-4 medicines",839,"Boustani ACB",-0.583771523559396,-2.53353750756702,1.36599446044823,0.535991453866826,1.9472920124208
"0-4 medicines",839,"IACB",-0.680075859627141,-3.10575012206684,1.74559840281256,0.561956252012437,3.49841245612606
"5-9 medicines",361,"Boustani ACB",-0.950265250406653,-2.78937427465053,0.888843773837225,0.290863596714613,1.54971606907839
"5-9 medicines",361,"IACB",-1.02371774119345,-2.8552771727278,0.807841690340888,0.254542140143991,0.483819036594923
">=10 medicines",88,"Boustani ACB",-1.69668670088366,-3.71669908502404,0.323325683256711,0.0921766184750495,-3.07715639645085
">=10 medicines",88,"IACB",-1.78910075954595,-3.39643140024636,-0.181770118845532,0.0320113651991564,-6.35870577012065
