"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M4 DSST, Boustani ACB","CFDDS","(Intercept)",90.8312641844732,79.306256677917,102.356271691029,5.97288421884704e-12,1288
"M4 DSST, Boustani ACB","CFDDS","acb_burden",-0.826567957230873,-2.01017217782715,0.357036263365402,0.158922092252349,1288
"M4 DSST, Boustani ACB","CFDDS","n_drugs",-0.514877435608713,-0.906590980859277,-0.123163890358149,0.0130188532784262,1288
"M4 DSST, Boustani ACB","CFDDS","age",-0.829076090789427,-0.972235684537126,-0.685916497041727,7.63111086805908e-10,1288
"M4 DSST, Boustani ACB","CFDDS","sexFemale",5.38977542558881,4.02716488694005,6.75238596423757,2.04337710897942e-07,1288
"M4 DSST, Boustani ACB","CFDDS","raceMexican American",-8.53710112621948,-11.7014504055878,-5.37275184685116,2.64699287292831e-05,1288
"M4 DSST, Boustani ACB","CFDDS","raceOther Hispanic",-12.5579737410724,-15.2628797439501,-9.85306773819468,2.09518032101858e-08,1288
"M4 DSST, Boustani ACB","CFDDS","raceNH Black",-11.9736977568592,-14.1237280119603,-9.82366750175809,1.38812376629540e-09,1288
"M4 DSST, Boustani ACB","CFDDS","raceNH Asian",-5.1025433529649,-8.54180938869924,-1.66327731723056,0.00609730898458153,1288
"M4 DSST, Boustani ACB","CFDDS","raceOther/Multi",-2.17433058066117,-6.54339013104799,2.19472896972565,0.308424228587929,1288
"M4 DSST, Boustani ACB","CFDDS","education9-11th grade",7.4906040722617,4.87143432596854,10.1097738185548,1.34142210065159e-05,1288
"M4 DSST, Boustani ACB","CFDDS","educationHS grad/GED",11.5465115728349,9.48318237429161,13.6098407713783,1.2895691292855e-09,1288
"M4 DSST, Boustani ACB","CFDDS","educationSome college/AA",17.2970960735314,14.9019882921189,19.6922038549439,2.4142676790051e-11,1288
"M4 DSST, Boustani ACB","CFDDS","educationCollege grad+",19.6852347083284,16.7677988401685,22.6026705764884,7.07719977550888e-11,1288
"M4 DSST, Boustani ACB","CFDDS","income_pir",1.89475371741836,1.15115259797304,2.63835483686369,5.0290337482505e-05,1288
"M4 DSST, IACB","CFDDS","(Intercept)",91.8529129854594,80.1059755874876,103.599850383431,6.7795831110152e-12,1288
"M4 DSST, IACB","CFDDS","iacb_burden",-0.502673546542395,-0.993637323466056,-0.0117097696187347,0.0453337713395415,1288
"M4 DSST, IACB","CFDDS","n_drugs",-0.513093403587796,-0.858624780558423,-0.16756202661717,0.00606081371550305,1288
"M4 DSST, IACB","CFDDS","age",-0.846614003574466,-0.993646389616435,-0.699581617532498,8.33625284118097e-10,1288
"M4 DSST, IACB","CFDDS","sexFemale",5.46408037644534,4.06004149250125,6.86811926038943,2.55713019880529e-07,1288
"M4 DSST, IACB","CFDDS","raceMexican American",-8.48379816590722,-11.6209108526756,-5.34668547913888,2.57577496478373e-05,1288
"M4 DSST, IACB","CFDDS","raceOther Hispanic",-12.4099192518266,-15.0499266294366,-9.76991187421659,1.74758099583087e-08,1288
"M4 DSST, IACB","CFDDS","raceNH Black",-11.893815217084,-13.9387537157943,-9.84887671837361,7.14352373720207e-10,1288
"M4 DSST, IACB","CFDDS","raceNH Asian",-5.10348747868016,-8.43983668836875,-1.76713826899157,0.00494798976457867,1288
"M4 DSST, IACB","CFDDS","raceOther/Multi",-2.08185216337394,-6.15725774138106,1.99355341463318,0.29619565033384,1288
"M4 DSST, IACB","CFDDS","education9-11th grade",7.59323235567726,4.98632492259849,10.200139788756,1.07838541374467e-05,1288
"M4 DSST, IACB","CFDDS","educationHS grad/GED",11.5947744179126,9.66522794670231,13.5243208891228,4.32093686267097e-10,1288
"M4 DSST, IACB","CFDDS","educationSome college/AA",17.356792539254,14.7853201937385,19.9282648847694,7.03922204058231e-11,1288
"M4 DSST, IACB","CFDDS","educationCollege grad+",19.8284074385495,16.9506489520455,22.7061659250535,5.08607998822629e-11,1288
"M4 DSST, IACB","CFDDS","income_pir",1.90345948945615,1.19962688064944,2.60729209826286,2.5748203185779e-05,1288
"M4 animal fluency, Boustani ACB","CFDAST","(Intercept)",32.6383614164245,27.5679068972861,37.708815935563,1.48250334515645e-10,1303
"M4 animal fluency, Boustani ACB","CFDAST","acb_burden",-0.137317343233431,-0.507616887808539,0.232982201341677,0.444754313754924,1303
"M4 animal fluency, Boustani ACB","CFDAST","n_drugs",-0.153940689505954,-0.304326025774661,-0.00355535323724765,0.0453728577319724,1303
"M4 animal fluency, Boustani ACB","CFDAST","age",-0.238184357860393,-0.298796328049283,-0.177572387671502,2.23693283001181e-07,1303
"M4 animal fluency, Boustani ACB","CFDAST","sexFemale",0.177284125024893,-0.789637000924262,1.14420525097405,0.703679489008782,1303
"M4 animal fluency, Boustani ACB","CFDAST","raceMexican American",-1.66455174164184,-2.89070626487573,-0.438397218407942,0.0107478861629488,1303
"M4 animal fluency, Boustani ACB","CFDAST","raceOther Hispanic",-2.67160438294126,-3.71858444236568,-1.62462432351684,4.95037435993488e-05,1303
"M4 animal fluency, Boustani ACB","CFDAST","raceNH Black",-3.2101803531872,-4.04252489723949,-2.3778358091349,2.89372355795507e-07,1303
"M4 animal fluency, Boustani ACB","CFDAST","raceNH Asian",-4.45838559197222,-5.82881060003435,-3.08796058391009,2.7487126470414e-06,1303
"M4 animal fluency, Boustani ACB","CFDAST","raceOther/Multi",-0.228950582738828,-1.65896316128062,1.20106199580296,0.739656967783504,1303
"M4 animal fluency, Boustani ACB","CFDAST","education9-11th grade",0.427489709623312,-1.07098735475234,1.92596677399896,0.555187816133197,1303
"M4 animal fluency, Boustani ACB","CFDAST","educationHS grad/GED",0.690467276381281,-0.546346766289095,1.92728131905166,0.25508988989097,1303
"M4 animal fluency, Boustani ACB","CFDAST","educationSome college/AA",2.63907730583094,1.35208867042269,3.92606594123918,0.000458242907638259,1303
"M4 animal fluency, Boustani ACB","CFDAST","educationCollege grad+",4.30661628894364,2.42750522995845,6.18572734792884,0.000154861520045467,1303
"M4 animal fluency, Boustani ACB","CFDAST","income_pir",0.28338440058173,-0.0665620311371411,0.633330832300602,0.105733237216662,1303
