"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M1: count alone","CFDCSR","n_drugs",-0.109255248617836,-0.149935607365914,-0.068574889869759,2.78771459516321e-05,1454
"M2: ACB alone","CFDCSR","acb_burden",-0.14533298826537,-0.264373996939342,-0.0262919795913982,0.0196376431000341,1454
"M3: ACB + count","CFDCSR","acb_burden",0.0119670505584203,-0.113943221901161,0.137877323018002,0.843448708866279,1454
"M3: ACB + count","CFDCSR","n_drugs",-0.112434422458464,-0.163409335670986,-0.0614595092459414,0.000227571248264863,1454
"M4: fully adjusted","CFDCSR","acb_burden",0.02838171694345,-0.106075318094391,0.162838751981291,0.661687185959346,1310
"M4: fully adjusted","CFDCSR","n_drugs",-0.0595166875688639,-0.119725839613896,0.000692464476168282,0.0524034253363266,1310
"M5a: ACB category","CFDCSR","acb_catACB 1-2",0.0057531563544359,-0.542989351314395,0.554495664023266,0.982609918529414,1310
"M5a: ACB category","CFDCSR","acb_catACB 3+",0.0950000749963508,-0.583590681005236,0.773590830997937,0.771291387775453,1310
"M5b: high-potency","CFDCSR","n_highpot",0.0940324887553753,-0.302419964769505,0.490484942280256,0.623198329427573,1310
"M4+: + comorbidities","CFDCSR","acb_burden",0.0366008054481132,-0.106584265857466,0.179785876753692,0.596667269976947,1290
"M4+: + comorbidities","CFDCSR","n_drugs",-0.0533457721905298,-0.138455221380342,0.0317636769992827,0.203547524242558,1290
