"step","n"
"Full NHANES 2011-2012 (DEMO)",9756
"Aged 60+",1791
"  ...given cognitive module (in CFQ)",1687
"  ...with valid DSST (CFDDS)",1422
"  ...with valid animal fluency (CFDAST)",1449
"  ...with valid CERAD delayed recall (CFDCSR)",1454
