"scale","term","estimate","ci_lower","ci_upper","p_value","count_estimate","count_p","AIC","dAIC","wald_F","wald_p","n_used","base_AIC","base_count_estimate"
"Boustani ACB","burden (per 1 SD)",-1.14352318656694,-2.78099153763232,0.493945164498449,0.158922092252348,-0.514877435608714,0.0130188532784261,10069.9159514467,0.344245912783663,2.17086646467309,0.158922092252348,1288,10069.5717055339,-0.724716086644165
"IACB","burden (per 1 SD)",-1.08739237040705,-2.14945395857934,-0.0253307822347535,0.0453337713395414,-0.513093403587796,0.00606081371550303,10065.8271127197,-3.74459281425334,4.66618709703106,0.0453337713395414,1288,10069.5717055339,-0.724716086644165
