"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M1: count alone","CFDAST","n_drugs",-0.251936237758378,-0.414625098161195,-0.0892473773555605,0.00485179952693246,1661
"M2: ACB alone","CFDAST","acb_burden",-0.566373827854971,-0.848857540835026,-0.283890114874916,0.000666402350896999,1661
"M3: ACB + count","CFDAST","acb_burden",-0.313269927455841,-0.582153583589844,-0.0443862713218382,0.0253263327293244,1661
"M3: ACB + count","CFDAST","n_drugs",-0.178671485571393,-0.356972791820965,-0.000370179321820985,0.0495833705471133,1661
"M4: fully adjusted","CFDAST","acb_burden",-0.306921178639038,-0.540049326802703,-0.0737930304753722,0.0132943578510049,1533
"M4: fully adjusted","CFDAST","n_drugs",-0.0907588548242438,-0.252349664768366,0.0708319551198786,0.249826945210575,1533
"M5a: ACB category","CFDAST","acb_catACB 1-2",-0.114751716290886,-0.862505728633409,0.633002296051636,0.748115244858597,1533
"M5a: ACB category","CFDAST","acb_catACB 3+",-1.31199977862479,-2.22531913544217,-0.39868042180742,0.00790966363263436,1533
"M5b: high-potency","CFDAST","n_highpot",-0.989724606665986,-1.84257874619333,-0.136870467138645,0.0258192406415413,1533
"M4+: + comorbidities","CFDAST","acb_burden",-0.267028763309615,-0.521101156822516,-0.0129563697967144,0.0406500380124129,1481
"M4+: + comorbidities","CFDAST","n_drugs",-0.0447365513628935,-0.198942406219421,0.109469303493634,0.545618132013091,1481
