"scale","model","burden","burden_lo","burden_hi","burden_p","count","count_lo","count_hi","count_p","AIC","n"
"Boustani ACB","M4 (same sample)",-1.85914888469952,-2.65217792549658,-1.06611984390247,0.000159325629919127,-0.542916961775984,-0.811923115322726,-0.273910808229241,0.00062957029233003,11204.4462507893,1431
"Boustani ACB","M4+ (with comorbidities)",-1.9196517880191,-2.68295726515646,-1.15634631088174,7.9408699516777e-05,-0.329226137233498,-0.652505251778208,-0.00594702268878849,0.0464184576886418,11178.5737626178,1431
"IACB","M4 (same sample)",-1.25600675453253,-2.08735514845276,-0.424658360612291,0.00572209189632512,-0.590296801161805,-0.901619180396696,-0.278974421926913,0.00106568408477625,11216.0436441723,1431
"IACB","M4+ (with comorbidities)",-1.24692137532255,-2.13702537332319,-0.356817377321917,0.00923425833126992,-0.389907278844288,-0.76719932852888,-0.0126152291596967,0.0436684940284103,11192.8625129835,1431
