"variable","weighted_mean","se","n_nonmiss"
"age",69.5896320417441,0.295182863759378,1785
"income_pir",2.99220076515327,0.0956566384629972,1644
"n_drugs",4.16224712652299,0.091823128760282,1785
"acb_burden",0.913946835130776,0.0503603998171853,1785
"n_acb_drugs",0.69803412901587,0.0359760022638734,1785
"n_highpot",0.0995329159974631,0.00927542053415026,1785
"CFDDS",51.3418892118391,0.763623166421203,1592
"CFDAST",17.7547826810512,0.238989153230452,1661
