"drug","boustani_score","n_users","pct_of_sample"
"amitriptyline",3,23,1.3
"paroxetine",3,23,1.3
"solifenacin",3,19,1.1
"oxybutynin",3,16,0.9
"tolterodine",3,16,0.9
"meclizine",3,10,0.6
"hydroxyzine",3,9,0.5
"quetiapine",3,9,0.5
"atropine; diphenoxylate",3,6,0.3
"nortriptyline",3,6,0.3
"hyoscyamine",3,5,0.3
"olanzapine",3,5,0.3
"promethazine",3,5,0.3
"benztropine",3,4,0.2
"diphenhydramine",3,4,0.2
"imipramine",3,4,0.2
"methocarbamol",3,4,0.2
"clozapine",3,2,0.1
"fesoterodine",3,2,0.1
"clomipramine",3,1,0.1
"desipramine",3,1,0.1
"diphenhydramine; pseudoephedrine",3,1,0.1
"doxepin",3,1,0.1
"fluoxetine; olanzapine",3,1,0.1
"orphenadrine",3,1,0.1
"trospium",3,1,0.1
