"variable","level","pct","se"
"sex","sexMale",45.2078505569875,0.984272641622471
"sex","sexFemale",54.7921494430125,0.984272641622471
"race","raceNH White",77.4808320227843,2.69399192527331
"race","raceMexican American",4.68430882954065,1.356886517851
"race","raceOther Hispanic",3.21467486734216,0.588495064767132
"race","raceNH Black",9.16511775130719,1.41797618253086
"race","raceNH Asian",4.23372193428015,0.666718810736035
"race","raceOther/Multi",1.22134459474556,0.310794034367343
"education","education<9th grade",6.46913234972955,1.04090702486159
"education","education9-11th grade",10.6716377909237,1.56252436528464
"education","educationHS grad/GED",22.2417148517968,1.36273220084769
"education","educationSome college/AA",31.2504055655449,1.32407314207565
"education","educationCollege grad+",29.367109442005,1.96026523468449
"acb_cat","acb_catACB 0",54.3614921664829,1.6139600258108
"acb_cat","acb_catACB 1-2",33.0952406058374,1.31198350548022
"acb_cat","acb_catACB 3+",12.5432672276796,1.06249670023744
