"scale","prescriptions","rx_on_list","pct_rx_on_list","rx_partial_combo","pct_rx_partial_combo","participants","ppl_partial_combo","pct_ppl_partial_combo"
"Boustani ACB (0-3)",7310,2959,40.4787961696306,223,3.05061559507524,1528,210,13.7434554973822
"IACB (0-4)",7310,2798,38.2763337893297,175,2.39398084815321,1528,167,10.9293193717277
