"coding","scale","model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"(a) primary: unlisted contributes 0","IACB (0-4)","M4: fully adjusted","CFDAST","iacb_burden",-0.200558195353124,-0.373155167677489,-0.0279612230287583,0.0256552815914878,1533
"(a) primary: unlisted contributes 0","IACB (0-4)","M4: fully adjusted","CFDAST","n_drugs",-0.0676209330159227,-0.259626539001293,0.124384672969448,0.464471963132534,1533
"(a) primary: unlisted contributes 0","IACB (0-4)","M5b: high-potency","CFDAST","n_highpot_iacb",-0.618950786859079,-1.43381348335351,0.195911909635355,0.126276633824853,1533
"(a) primary: unlisted contributes 0","IACB (0-4)","M4+: + comorbidities","CFDAST","iacb_burden",-0.171296029421831,-0.330905197836674,-0.0116868610069871,0.0371081630950129,1397
"(a) primary: unlisted contributes 0","IACB (0-4)","M4+: + comorbidities","CFDAST","n_drugs",-0.0233735141703408,-0.220555432450897,0.173808404110216,0.803962554628706,1397
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4-IPW","CFDDS","acb_burden",-1.31019767624919,-1.84756821189764,-0.772827140600745,0.000108410266311612,1468
"(a) primary: unlisted contributes 0","IACB (0-4)","M4-IPW","CFDDS","iacb_burden",-0.573845401913959,-0.94743633236154,-0.200254471466378,0.00512532540877434,1468
"(b) drugs on both lists only","Boustani ACB (0-3)","M3: burden + count","CFDDS","acb_common",-1.00117659395679,-1.7782622769146,-0.224090910998977,0.0150033538659571,1592
"(b) drugs on both lists only","Boustani ACB (0-3)","M3: burden + count","CFDDS","n_drugs",-1.02032677229921,-1.32853735438639,-0.712116190212027,3.89808945712915e-06,1592
"(b) drugs on both lists only","Boustani ACB (0-3)","M4: fully adjusted","CFDDS","acb_common",-1.29191219715627,-1.89107258245458,-0.69275181185797,0.000349856087031814,1468
"(b) drugs on both lists only","Boustani ACB (0-3)","M4: fully adjusted","CFDDS","n_drugs",-0.599136505319446,-0.836370017297079,-0.361902993341812,7.60894135810949e-05,1468
"(b) drugs on both lists only","IACB (0-4)","M3: burden + count","CFDDS","iacb_common",-0.136876723680972,-0.632183533861627,0.358430086499682,0.56461357217256,1592
"(b) drugs on both lists only","IACB (0-4)","M3: burden + count","CFDDS","n_drugs",-1.16653350375743,-1.50936356055912,-0.823703446955732,2.81958912668843e-06,1592
"(b) drugs on both lists only","IACB (0-4)","M4: fully adjusted","CFDDS","iacb_common",-0.630773681856066,-1.01738347623945,-0.244163887472684,0.00337537496304002,1468
"(b) drugs on both lists only","IACB (0-4)","M4: fully adjusted","CFDDS","n_drugs",-0.612341882570706,-0.914014383349452,-0.310669381791961,0.000599065825904296,1468
