"scale","term","estimate","ci_lower","ci_upper","p_value","count_estimate","count_p","AIC","dAIC","wald_F","wald_p","n_used","base_AIC","base_count_estimate"
"Boustani ACB","burden (per 1 SD)",-1.97537124128012,-2.78496986796461,-1.16577261459563,0.00010762859418219,-0.547132357827718,0.000451742207325184,11497.4901649163,-21.906706967864,27.046311233797,0.00010762859418219,1468,11519.3968718841,-0.846958517227116
"IACB","burden (per 1 SD)",-1.29217354593247,-2.12157898547754,-0.462768106387408,0.00465701592008643,-0.607438471706078,0.000715142166669589,11511.4453509629,-7.95152092123317,11.0270170542005,0.00465701592008644,1468,11519.3968718841,-0.846958517227116
