"model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"M4-IPW: DSST","CFDDS","acb_burden",-1.31019767624919,-1.84756821189764,-0.772827140600745,0.000108410266311612,1468
"M4-IPW: DSST","CFDDS","n_drugs",-0.551958839052952,-0.816750939941128,-0.287166738164775,0.000474295167286778,1468
