"band","n","scale","estimate","ci_lower","ci_upper","p_value","dAIC"
"0-4 medicines",904,"Boustani ACB",-2.83823119830515,-4.6782001309973,-0.998262265613002,0.00498143997581994,-10.7970228897966
"0-4 medicines",904,"IACB",-0.996313264130959,-3.16988410964142,1.1772575813795,0.344061028019329,1.25194772188115
"5-9 medicines",461,"Boustani ACB",-1.57829200496221,-2.42602673100181,-0.730557278922616,0.00123661317138583,-5.66021394287873
"5-9 medicines",461,"IACB",-0.828156920843438,-1.73261439717156,0.0763005554846825,0.0699101828960932,-0.818096368904662
">=10 medicines",103,"Boustani ACB",-0.873331343217175,-2.42234635435312,0.67568366791877,0.246601494513558,-0.571946098967032
">=10 medicines",103,"IACB",-2.55323339382881,-4.42203220326608,-0.684434584391536,0.0109650973490916,-9.08580058714108
