"drug","n_users","iacb_status","boustani_score","boustani_status"
"peginterferon alfa-2a",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pentosan polysulfate sodium",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pepsin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"phentermine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pilocarpine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"piroxicam",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"povidone iodine ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"progesterone topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pseudoephedrine; triprolidine",1,"c. combination, partially resolved",0,"c. combination, fully resolved"
"pyridostigmine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"raltegravir",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ranitidine bismuth citrate",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"rasagiline",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ribavirin",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"rivastigmine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"rizatriptan",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"rotigotine",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"salmeterol",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"sex hormones - unspecified",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"simeprevir",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"sofosbuvir",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"tacrolimus",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"tapentadol",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"terbinafine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ticagrelor",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"timolol",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"triamcinolone nasal",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"valacyclovir",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"vardenafil",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"vilazodone",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
