"drug","n_users","iacb_status","boustani_score","boustani_status"
"sulfamethoxazole; trimethoprim",10,"c. combination, partially resolved",NA,"d. unscored (not on list)"
"acetaminophen; oxycodone",9,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"amlodipine; valsartan",9,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"atenolol; chlorthalidone",9,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"bimatoprost ophthalmic",9,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"diazepam",9,"d. unscored (not on list)",1,"b. exact match"
"dutasteride",9,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"methotrexate",9,"d. unscored (not on list)",0,"a. confirmed score zero"
"mometasone nasal",9,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"omega-3 polyunsaturated fatty acids",9,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amlodipine; olmesartan",8,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"buspirone",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"cilostazol",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"insulin isophane (nph)",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"insulin isophane; insulin regular",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"insulin lispro",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"labetalol",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"levetiracetam",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"liraglutide",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"sotalol",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"travoprost ophthalmic",8,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"77777",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acyclovir",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dabigatran",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dorzolamide ophthalmic",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrochlorothiazide; olmesartan",7,"c. combination, partially resolved",NA,"d. unscored (not on list)"
"ibandronate",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"mometasone",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"polyethylene glycol 3350",7,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"55555",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"budesonide",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ciprofloxacin",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dexlansoprazole",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dorzolamide; timolol ophthalmic",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"glyburide; metformin",6,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"insulin aspart; insulin aspart protamine",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"insulin regular",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"irbesartan",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"letrozole",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"linagliptin",6,"d. unscored (not on list)",0,"a. confirmed score zero"
"risedronate",6,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"aliskiren",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amlodipine; hydrochlorothiazide; valsartan",5,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"beclomethasone",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"brinzolamide ophthalmic",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"candesartan",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"clobetasol topical",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"colesevelam",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"etodolac",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"mesalamine",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"phenytoin",5,"d. unscored (not on list)",0,"a. confirmed score zero"
"ranolazine",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"tamoxifen",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"telmisartan",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"thyroid desiccated",5,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acetaminophen; tramadol",4,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"adalimumab",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"antihypertensive agents - unspecified",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"azelastine nasal",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"azithromycin",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"cephalexin",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"clotrimazole topical",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"conjugated estrogens; medroxyprogesterone",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"esterified estrogens; methyltestosterone",4,"c. combination, partially resolved",NA,"d. unscored (not on list)"
"estradiol topical",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"etanercept",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fenofibric acid",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"formoterol; mometasone",4,"d. unscored (not on list)",NA,"c. combination, partially resolved"
"indapamide",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"levalbuterol",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"methylphenidate",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"nabumetone",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"nadolol",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pancrelipase",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"pentoxifylline",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"repaglinide",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"saxagliptin",4,"d. unscored (not on list)",0,"a. confirmed score zero"
"torsemide",4,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acarbose",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"alfuzosin",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amoxicillin; clavulanate",3,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"apixaban",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"aspirin; dipyridamole",3,"c. combination, partially resolved",1,"c. combination, fully resolved"
"benazepril; hydrochlorothiazide",3,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"benzonatate",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
